0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:51 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:51 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:06 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 8089
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:07 -0300] "GET /Petshops/estilosCadastrarProdutos.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:07 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:07 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:15 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 8089
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:16 -0300] "GET /Petshops/estilosCadastrarProdutos.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:16 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:16 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:16 -0300] "GET /Petshops/estilosCadastrarProdutos.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:16 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:16 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/alimento.jsp HTTP/1.1" 200 14872
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Ra%C3%A7%C3%A3o3-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Ra%C3%A7%C3%A3o2-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Ra%C3%A7%C3%A3o1-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Petisco1-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Petisco2-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:39 -0300] "GET /Petshops/imagens/Petisco3-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:44 -0300] "GET /Petshops/CadastroCliente.jsp HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:44 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:13:46 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:33 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 8072
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:33 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:33 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:33 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:34 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:34 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:34 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:34 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:56 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 14184
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:56 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:56 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:56 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:56 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:57 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:58 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:58 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:58 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:58 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:15:58 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:08 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10732
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:08 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:08 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:08 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:08 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:08 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:09 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:09 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:16 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10732
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:16 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:16 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:16 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:16 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:16 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:17 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:17 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:17 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:17:17 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:31 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10732
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:31 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:31 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:31 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:31 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:31 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10732
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:19:39 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:25 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10907
